"sku","ps_url","cost","supplier","price"
"Reganoc","bikini/256-maillot-de-bain-choco-et-bleu-regano.html","15.000000","Chantefeuille","35.000000"
"Foxi","bikini/257-maillot-de-bain-bandeau-foxi.html","15.000000","Chantefeuille","35.000000"
"Capi","bikini/258-maillot-de-bain-capi.html","12.500000","Chantefeuille","30.000000"
"L2376","bikini/514-bikini-maillot-de-bain-bandeau-bijou.html","15.000000","Chantefeuille","35.500000"
"L059 Celeste","bikini/515-bikini-maillot-de-bain-balconnet-corail.html","15.000000","Chantefeuille","35.500000"
"celeste-ciel","bikini/516-bikini-maillot-de-bain-balconnet-bleu-ciel.html","15.000000","Chantefeuille","35.500000"
"celeste-bleu","bikini/517-bikini-maillot-de-bain-balconnet-bleu-marine.html","15.000000","Chantefeuille","35.500000"
"celeste-vert","bikini/518-bikini-maillot-de-bain-balconnet-vert-pastel.html","15.000000","Chantefeuille","35.500000"
"celeste-anis","bikini/519-bikini-maillot-de-bain-balconnet-vert-anis.html","15.000000","Chantefeuille","35.500000"
"L2370","bikini/520-bikini-maillot-de-bain-reversible-noir-leopard.html","15.000000","Chantefeuille","35.500000"
"Meri","bikini/320-maillot-de-bain-marron-meri.html","15.250000","Chantefeuille","39.500000"
"D134","bikini/502-bikini-push-up-maillot-de-bain-bandeau-avec-pompom.html","16.600000","Chantefeuille","39.000000"
"PR11987","robe-de-plage-pareo/476-pareo-violet-mousseline-de-soie.html","7.900000","Silamoda","19.000000"
"SD07-19062","bikini/384-maillot-de-bain-bikini-gandhali.html","15.620000","Shogun","24.000000"
"L034 Natalia","home/513-bikini-maillot-de-bain-bandeau-decor-fun.html","15.000000","Chantefeuille","35.500000"
"indigo","bikini/512-bikini-maillot-de-bain-bandeau-bleu.html","20.000000","Chantefeuille","47.000000"
"toya","bikini/505-bikini-maillot-de-bain-bandeau-noir-et-blanc-toya.html","17.510000","Chantefeuille","42.000000"
"BK110504","bikini/293-maillot-de-bain-bresilien-moi-la-star-.html","28.000000","Starnet","56.000000"
"BK110930","bikini/294-maillot-de-bain-l-anse-du-paradis.html","24.710000","Starnet","49.500000"
"BK110936-23","bikini/295-bikini-multicolor-maillot-de-bain-bresilien-explosion-florale.html","24.710000","Starnet","49.500000"
"BK110936-3","bikini/296-maillot-de-bain-bresilien-croque-moi.html","24.710000","Starnet","49.500000"
"BKDS11006-3","bikini/297-bikini-maillot-de-bain-bresilien-mon-tatoo-avec-strass-.html","24.710000","Starnet","49.500000"
"BKDS21147-1","bikini/298-bikini-leopard-maillot-de-bain-bresilien-entre-mes-griffes.html","30.000000","Starnet","60.000000"
"BKDS21248-1","bikini/299-bikini-rose-maillot-de-bain-glace-a-la-rose.html","24.710000","Starnet","49.500000"
"BKDS21251-17 ","bikini/300-bikini-bleu-fonce-maillot-de-bain-bresilien-jeu-de-coeurs.html","24.710000","Starnet","49.500000"
"BKDS21265-10","bikini/302-bikini-fond-jaune-maillot-de-bain-bresilien-je-magnetise.html","24.710000","Starnet","49.500000"
"BKDS31123-6","bikini/303-bikini-gris-maillot-de-bain-perle-des-sables.html","24.710000","Starnet","49.500000"
"BKDS33001","bikini/304-maillot-de-bain-my-st-tropez.html","24.710000","Starnet","49.500000"
"BKDS33066","bikini/305-maillot-de-bain-noir-p-ptit-bout-de-st-barth-.html","28.010000","Starnet","56.000000"
"BKDS9036-1","bikini/306-bikini-maillot-de-bain-bresilien-miami-girl.html","28.010000","Starnet","56.000000"
"BKDS969-27","bikini/307-bikini-blanc-tache-noir-maillot-de-bain-cocktail-chic.html","24.710000","Starnet","49.500000"
"BKDY31036-11","bikini/308-bikini-leopard-maillot-de-bain-moi-feline.html","24.710000","Starnet","49.500000"
"BKDY31036-16","bikini/309-maillot-de-bain-mi-amore.html","24.710000","Starnet","49.500000"
"BKHS0832-2","bikini/310-maillot-de-bain-lagon-sur-ma-peau.html","28.010000","Starnet","56.000000"
"BKHSI0507","bikini/311-maillot-de-bain-sous-mon-arc-en-ciel.html","24.710000","Starnet","49.500000"
"BKST10012","bikini/312-maillot-de-bain-bresilien-toi-moi-et-mon-maillot.html","24.710000","Starnet","49.500000"
"Petit volant vert","bikini/531-bikini-maillot-de-bain-bandeau-vert.html","15.000000","Chantefeuille","35.500000"
"LC19059","bikini/370-maillot-de-bain-bikini-fawila-blanc.html","18.290000","Starnet","40.250000"
"LC19059-1","bikini/371-maillot-de-bain-bikini-fawila-rouge-.html","18.290000","Starnet","40.500000"
"kelly","home/511-bikini-maillot-de-bain-bleu-soutien-gorge-balconnet.html","19.000000","Chantefeuille","44.650000"
"LC19056","bikini/374-maillot-de-bain-bikini-et-jupette-suvali.html","22.610000","Starnet","49.800000"
"LC19055","bikini/375-maillot-de-bain-bikini-tai-noir-et-bleu-clair.html","18.290000","Starnet","40.500000"
"D171","bikini/500-bikini-maillot-de-bain-florale-rose.html","17.600000","Chantefeuille","41.500000"
"BL4710 ","bikini/381-bikini-lacages-et-diamants.html","35.700000","Starnet","63.000000"
"PR12569 multi/A23","robe-de-plage-pareo/556-pareo-sexy-multicolors-effet-mousseline.html","7.900000","Silamoda","19.000000"
"Lores","bikini/509-bikini-maillot-de-bain-a-balconnet-push-up-mauve.html","20.000000","Chantefeuille","47.000000"
