"active";"category_name";"reference";"name";"color";"description";"price";"quantity";"picture_link"
1;"Maillots de bain";"balconnetv-LXL";"Maillot de bain 3 pièces ""Balconnet"" vert";"vert";"Maillot de bain 3 pièces balconnet vert. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4280-6825-thickbox/maillot-de-bain-3-pieces-balconnet-vert.jpg"
1;"Maillots de bain";"balconnetv-XLXXL";"Maillot de bain 3 pièces ""Balconnet"" vert";"vert";"Maillot de bain 3 pièces balconnet vert. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4280-6825-thickbox/maillot-de-bain-3-pieces-balconnet-vert.jpg"
1;"Maillots de bain";"balconnetv-ML";"Maillot de bain 3 pièces ""Balconnet"" vert";"vert";"Maillot de bain 3 pièces balconnet vert. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4280-6825-thickbox/maillot-de-bain-3-pieces-balconnet-vert.jpg"
1;"Maillots de bain";"balconnetbl-LXL";"Maillot de bain 3 pièces ""Balconnet"" bleu";"bleu";"Maillot de bain 3 pièces balconnet bleu. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4281-6828-thickbox/maillot-de-bain-3-pieces-balconnet-bleu.jpg"
1;"Maillots de bain";"balconnetbl-XLXXL";"Maillot de bain 3 pièces ""Balconnet"" bleu";"bleu";"Maillot de bain 3 pièces balconnet bleu. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4281-6828-thickbox/maillot-de-bain-3-pieces-balconnet-bleu.jpg"
1;"Maillots de bain";"balconnetbl-ML";"Maillot de bain 3 pièces ""Balconnet"" bleu";"bleu";"Maillot de bain 3 pièces balconnet bleu. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";1;"http://www.chantefeuille.fr/4281-6828-thickbox/maillot-de-bain-3-pieces-balconnet-bleu.jpg"
1;"Maillots de bain";"balconnetp-LXL";"Maillot de bain 3 pièces ""Balconnet"" parme";"parme";"Maillot de bain 3 pièces balconnet parme. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4282-6831-thickbox/maillot-de-bain-3-pieces-balconnet-parme.jpg"
1;"Maillots de bain";"balconnetp-XLXXL";"Maillot de bain 3 pièces ""Balconnet"" parme";"parme";"Maillot de bain 3 pièces balconnet parme. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4282-6831-thickbox/maillot-de-bain-3-pieces-balconnet-parme.jpg"
1;"Maillots de bain";"balconnetp-ML";"Maillot de bain 3 pièces ""Balconnet"" parme";"parme";"Maillot de bain 3 pièces balconnet parme. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4282-6831-thickbox/maillot-de-bain-3-pieces-balconnet-parme.jpg"
1;"Maillots de bain";"balconnetf-LXL";"Maillot de bain 3 pièces ""Balconnet"" fushia";"fushia";"Maillot de bain 3 pièces balconnet fushia. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4283-6834-thickbox/maillot-de-bain-3-pieces-balconnet-fushia.jpg"
1;"Maillots de bain";"balconnetf-XLXXL";"Maillot de bain 3 pièces ""Balconnet"" fushia";"fushia";"Maillot de bain 3 pièces balconnet fushia. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4283-6834-thickbox/maillot-de-bain-3-pieces-balconnet-fushia.jpg"
1;"Maillots de bain";"balconnetf-ML";"Maillot de bain 3 pièces ""Balconnet"" fushia";"fushia";"Maillot de bain 3 pièces balconnet fushia. Haut de maillot balconnet avec coque cousu, armature pour un bon maintien. Bas de maillot culotte et paréo assorti. Composition: 90% Polyester - 10% Elasthane.";"12.00";2;"http://www.chantefeuille.fr/4283-6834-thickbox/maillot-de-bain-3-pieces-balconnet-fushia.jpg"
