"Ref. maitre";"Code article";"Designation";"Stock Starnet France";"Etat"
"1011";"1011WHI";"Bas Classique Mate Arabesques Couleur : Blanc / Taille : OS";"0";"commande"
"1012";"1012BR";"Bas en Rouge et Noir Couleur : Noir/Rouge / Taille : OS";"43";"disponible"
"1013";"1013WRD";"Bas Tendance semi-opaques blanc Couleur : Blanc/Rouge / Taille : OS";"0";"non_reconduit"
"1015";"1015BLK";"Bas Jarretières Perlées Couleur : Noir / Taille : OS";"0";"non_reconduit"
"1015";"1015IVO";"Bas Jarretières Perlées Couleur : Ivoire / Taille : OS";"0";"non_reconduit"
"1015";"1015WHI";"Bas Jarretières Perlées Couleur : Blanc / Taille : OS";"0";"non_reconduit"
"1016";"1016WRD";"Bas Voile Couture de Coeurs ""l'Amoureuse"" Couleur : Blanc/Rouge / Taille : OS";"80";"disponible"
"1017";"1017BRED";"Bas Fans de Coeurs Couleur : Noir/Rouge / Taille : OS";"0";"non_reconduit"
"1017";"1017QBRED";"Bas Fans de Coeurs Couleur : Noir/Rouge / Taille : PS";"0";"non_reconduit"
"1017";"1017QWRED";"Bas Fans de Coeurs Couleur : Blanc/Rouge / Taille : PS";"0";"non_reconduit"
"1017";"1017WRED";"Bas Fans de Coeurs Couleur : Blanc/Rouge / Taille : OS";"0";"non_reconduit"
"1018";"1018WRD";"Bas Coeurs Couleur : Blanc/Rouge / Taille : OS";"0";"non_reconduit"
"1020";"1020ML";"Bas contraste renforcés Couleur : Chair/Noir / Taille : ML";"52";"disponible"
"1020";"1020SM";"Bas contraste renforcés Couleur : Chair/Noir / Taille : SM";"39";"disponible"
"1022";"1022BLK";"Bas Autofixants Larges Jarretières DZ Couleur : Noir / Taille : OS";"34";"disponible"
"1022";"1022NUD";"Bas Autofixants Larges Jarretières DZ Couleur : Chair / Taille : OS";"34";"disponible"
"1022";"1022QBLK";"Bas Autofixants Larges Jarretières DZ Couleur : Noir / Taille : PS";"45";"disponible"
"1022";"1022QNUD";"Bas Autofixants Larges Jarretières DZ Couleur : Chair / Taille : PS";"63";"disponible"
"1022";"1022QRED";"Bas Autofixants Larges Jarretières DZ Couleur : Rouge / Taille : PS";"64";"disponible"
